BGreg_val Voltage stddev
0 1.04073 0.000916676
1 1.02747 0.00134798
2 1.01353 0.00158093
3 0.999375 5.55112e-16
4 0.986338 0.000817268
5 0.971284 0.00134798
6 0.956677 0.00150615
7 0.938355 0.000698105
8 0.919297 5.55112e-16
9 0.898893 0.00154648
10 0.87913 0.00159643
11 0.860231 0.00158999
12 0.84002 0.00199393
13 0.819295 0.0015415
14 0.799788 0.00148142
15 0.778359 5.55112e-16
16 0.75866 0.00159353
