BGreg_val Voltage stddev
0 0.547991 0.0363457
1 0.535851 0.0335925
2 0.526946 0.035965
3 0.519931 0.0396409
4 0.502634 0.0330456
5 0.487932 0.0325871
6 0.468297 0.0301638
7 0.45715 0.0295906
8 0.44674 0.0369304
9 0.427937 0.0287319
10 0.40952 0.0270522
11 0.404715 0.0320645
12 0.386905 0.0294593
13 0.365893 0.0215866
14 0.352696 0.0172368
15 0.332196 0.0149232
16 0.322395 0.0195856
