Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0437842 3.48244e-05
VCC_H_1.500000_VDD_Reset 1.42539 2.66454e-15
VCC_H_1.500000_current_1V5_Run 0.0291231 0.00321848
VCC_H_1.500000_VDD_Run 1.19797 8.88178e-16
VCC_H_1.500000_VDD_2_R 522 0
VCC_H_1.500000_VDD_2_L 510.7 0.458258
VCC_H_1.500000_DVDD_2 630.3 0.458258
VCC_H_1.500000_BG 537.6 0.489898
VCC_H_1.500000_Temp 549 0
VCC_H_1.500000_VDD_H_4 322 0
VCC_H_1.500000_OTA_R 734 0
VCC_H_1.500000_OTA_L 718 0
VCC_H_2.000000_current_1V5_Reset 0.0438116 0.001855
VCC_H_2.000000_VDD_Reset 1.42539 2.66454e-15
VCC_H_2.000000_current_1V5_Run 0.0286853 0.00336163
VCC_H_2.000000_VDD_Run 1.19797 8.88178e-16
VCC_H_2.000000_VDD_2_R 521 0
VCC_H_2.000000_VDD_2_L 509.5 0.5
VCC_H_2.000000_DVDD_2 629 0
VCC_H_2.000000_BG 536 0
VCC_H_2.000000_Temp 547.2 0.4
VCC_H_2.000000_VDD_H_4 421 0
VCC_H_2.000000_OTA_R 732.8 0.4
VCC_H_2.000000_OTA_L 716.2 0.4
VCC_H_2.500000_current_1V5_Reset 0.0439409 0.000866245
VCC_H_2.500000_VDD_Reset 1.42539 2.66454e-15
VCC_H_2.500000_current_1V5_Run 0.0284018 0.00368721
VCC_H_2.500000_VDD_Run 1.20188 0.0408209
VCC_H_2.500000_VDD_2_R 520.6 0.489898
VCC_H_2.500000_VDD_2_L 508.4 0.489898
VCC_H_2.500000_DVDD_2 628 0
VCC_H_2.500000_BG 535.1 0.3
VCC_H_2.500000_Temp 547 0
VCC_H_2.500000_VDD_H_4 521 0
VCC_H_2.500000_OTA_R 732 0
VCC_H_2.500000_OTA_L 715 0
VCC_H_3.000000_current_1V5_Reset 0.0439235 0.00103949
VCC_H_3.000000_VDD_Reset 1.42539 2.66454e-15
VCC_H_3.000000_current_1V5_Run 0.0282898 0.00365831
VCC_H_3.000000_VDD_Run 1.19797 8.88178e-16
VCC_H_3.000000_VDD_2_R 519.1 0.3
VCC_H_3.000000_VDD_2_L 507.8 0.4
VCC_H_3.000000_DVDD_2 626.3 0.458258
VCC_H_3.000000_BG 534.1 0.3
VCC_H_3.000000_Temp 545.5 0.5
VCC_H_3.000000_VDD_H_4 618 0
VCC_H_3.000000_OTA_R 730.9 0.3
VCC_H_3.000000_OTA_L 713.5 0.5
