BGreg_val Voltage stddev
0 0.415029 0.0399075
1 0.402953 0.03423
2 0.396835 0.0275986
3 0.392799 0.0341509
4 0.380307 0.0336491
5 0.372075 0.0313832
6 0.371563 0.0347299
7 0.35907 0.0333017
8 0.342094 0.034158
9 0.332965 0.0344135
10 0.31759 0.0333721
11 0.313041 0.0314359
12 0.28748 0.0336568
13 0.262432 0.0342368
14 0.253175 0.0349828
15 0.229055 0.0362972
16 0.213552 0.0331521
