timestr I2C_SuccessRate
2659929294 0.73
2667133762 0.69
2674334817 0.76
2681517146 0.73
2688693922 0.82
2695910078 0.77
2703118600 0.78
2710321144 0.79
2717539602 0.72
2724749973 0.76
2731932729 0.71
2739140044 0.83
2746331607 0.77
2753538083 0.76
2760754379 0.69
2767930839 0.76
2775141448 0.64
2782347394 0.73
2789554003 0.75
2796760059 0.73
2803958390 0.75
2811140068 0.78
2818367253 0.69
2825578666 0.76
2832785837 0.79
2839992594 0.79
2847181838 0.79
2854351069 0.73
2861569028 0.7
2868769648 0.77
2875963331 0.79
2883179848 0.87
2890377070 0.78
2897576926 0.79
2904795970 0.75
2912004144 0.79
2919219600 0.72
2926412304 0.77
2933625840 0.75
2940829362 0.79
2948014515 0.76
2955195455 0.71
2962397813 0.71
2969589079 0.8
2976775601 0.68
2983984383 0.74
2991187904 0.81
2998379363 0.73
3005572381 0.74
3012763051 0.73
3019940533 0.68
3027156534 0.65
3034371612 0.75
3041561901 0.77
3048770209 0.69
3055952179 0.68
3063164208 0.79
3070364915 0.74
3077557297 0.74
3084764321 0.69
3091967449 0.82
3099175665 0.72
3106376459 0.78
3113574664 0.72
3120774676 0.73
3127958150 0.81
3135152405 0.82
3142357908 0.71
3149566993 0.78
3156791564 0.73
3163995676 0.71
3171203748 0.76
3178428517 0.75
3185644664 0.74
3192860301 0.7
3200070452 0.73
3207255903 0.73
3214449296 0.75
3221652686 0.82
3228857124 0.74
3236044145 0.73
3243257686 0.78
3250476448 0.84
3257697067 0.85
3264905986 0.72
3272120012 0.74
3279316155 0.71
3286520485 0.77
3293722760 0.78
3300929900 0.75
3308121507 0.81
3315333969 0.74
3322550365 0.75
3329745903 0.69
3336942079 0.77
3344144750 0.69
3351334056 0.73
3358514644 0.71
3365720751 0.72
3372914231 0.76
3380101570 0.78
3387312744 0.74
3394533209 0.73
3401756523 0.67
3408897979 0.73
3416090674 0.79
3423297232 0.78
3430506683 0.79
3437704362 0.72
3444904296 0.81
3452099081 0.73
3459305818 0.76
3466506451 0.75
3473721674 0.68
3480918063 0.78
3488098660 0.81
3495301209 0.75
3502519736 0.76
3509699141 0.84
3516922056 0.76
3524123512 0.69
3531337183 0.76
3538482671 0.66
3545702936 0.72
3552895439 0.68
3560109993 0.78
3567332521 0.82
3574520417 0.8
3581735996 0.73
3588926449 0.76
3596112451 0.73
3603320914 0.67
3610534518 0.73
3617737924 0.79
3624934912 0.79
3632159070 0.79
3639358991 0.8
3646574598 0.74
3653778891 0.75
3660994880 0.65
3668194297 0.76
3675413755 0.81
3682621189 0.76
3689838309 0.72
3697035665 0.72
3704249176 0.78
3711463535 0.68
3718642078 0.76
3725833374 0.76
3733028616 0.76
3740225093 0.72
3747419513 0.72
3754616079 0.75
3761812601 0.67
3769012032 0.78
3776191380 0.76
3783398148 0.78
3790597761 0.66
3797817056 0.81
3804999383 0.74
3812174140 0.76
3819360070 0.71
3826579058 0.76
3833787616 0.77
3840986835 0.73
3848140628 0.74
3855357359 0.73
3862545907 0.78
3869745272 0.8
3876944905 0.73
3884147298 0.73
3891339602 0.72
3898534203 0.81
3905751598 0.78
3912953144 0.85
3920180682 0.74
3927378909 0.69
3934572360 0.76
3941774152 0.73
3948960971 0.74
3956157600 0.81
3963347068 0.7
3970521577 0.77
3977710001 0.84
3984910145 0.76
3992118968 0.74
3999316241 0.73
4006514448 0.76
4013746048 0.77
4020937601 0.73
4028126146 0.75
4035321974 0.67
4042526298 0.76
4049722753 0.74
4056940688 0.78
4064149916 0.72
4071356535 0.75
4078576904 0.73
4085797665 0.72
4092986816 0.74
4100189498 0.71
4107378729 0.72
4114594666 0.83
4121746527 0.7
4128942600 0.79
4136165020 0.71
4143371230 0.66
4150552900 0.73
4157761754 0.73
4164965361 0.75
4172175826 0.79
4179380609 0.84
4186599837 0.81
4193778435 0.77
4200966893 0.8
4208169298 0.67
4215384056 0.8
4222569064 0.7
4229768297 0.76
4236982817 0.71
4244200388 0.82
4251389994 0.78
4258581229 0.75
4265803838 0.72
4273015229 0.74
4280208548 0.72
4287407818 0.76
4294604814 0.78
4301778383 0.75
4308992379 0.71
4316193493 0.71
4323398233 0.77
4330604752 0.8
4337809826 0.81
4344961055 0.74
4352167475 0.71
4359379301 0.72
4366593760 0.76
4373773328 0.78
4380985667 0.79
4388188968 0.78
4395383751 0.78
4402581447 0.75
4409786185 0.78
4416995297 0.78
4424181365 0.66
4431390514 0.78
4438594534 0.79
4445799980 0.73
4453000686 0.81
4460201860 0.77
4467416448 0.74
4474611012 0.74
4481807609 0.76
4489004056 0.73
4496198517 0.72
4503421802 0.73
4510593300 0.78
4517792999 0.73
4525020967 0.78
4532207511 0.81
4539405051 0.84
4546614299 0.84
4553828667 0.73
4561007918 0.74
4568200449 0.75
4575395223 0.73
4582608452 0.67
4589824973 0.76
4597003376 0.72
4604216664 0.69
4611422144 0.83
4618611665 0.78
4625804297 0.68
4633003986 0.66
4640191668 0.78
4647409297 0.65
4654618776 0.68
4661811058 0.83
4669015500 0.7
4676213510 0.8
4683422906 0.74
4690630234 0.81
4697841664 0.76
4705045740 0.82
4712244818 0.79
4719446366 0.82
4726649911 0.73
4733856381 0.77
4741064297 0.82
4748251074 0.78
4755452512 0.78
4762663962 0.8
4769876991 0.8
4777081693 0.75
4784292055 0.86
4791498816 0.78
4798713297 0.81
4805903999 0.79
4813121449 0.8
4820337915 0.7
4827541161 0.83
4834768512 0.7
4841987044 0.76
4849189906 0.77
4856381893 0.79
4863602229 0.75
4870795904 0.75
4877975514 0.73
4885181230 0.71
4892394755 0.71
4899607384 0.76
4906796990 0.78
4914009236 0.72
4921232752 0.74
4928446360 0.81
4935659534 0.8
4942871838 0.76
4950085512 0.75
4957292559 0.73
4964501905 0.77
4971711677 0.86
4978912930 0.79
4986109991 0.79
4993291760 0.76
5000481602 0.77
5007685008 0.8
5014886612 0.8
5022103085 0.81
5029288601 0.83
5036497817 0.79
5043696357 0.76
5050893816 0.69
5058098902 0.8
5065299137 0.81
5072503639 0.79
5079680991 0.74
5086879383 0.78
5094094991 0.8
5101271968 0.83
5108477382 0.8
5115672143 0.68
5122876817 0.84
5130100362 0.73
5137302709 0.82
5144520989 0.74
5151736535 0.82
5158942991 0.78
5166159383 0.79
5173366229 0.84
5180531540 0.78
5187750001 0.75
5194947357 0.79
5202154768 0.82
5209362298 0.8
5216555818 0.78
5223756337 0.67
5230970208 0.77
5238154234 0.73
5245355298 0.79
5252585080 0.85
5259796669 0.84
5266997984 0.81
5274162752 0.76
5281385243 0.81
5288593839 0.8
5295801598 0.8
5303003209 0.78
5310207709 0.81
5317407362 0.74
5324627571 0.83
5331842145 0.79
5339043816 0.73
5346240448 0.78
5353417296 0.73
5360630598 0.71
5367833991 0.77
5375045534 0.78
5382248958 0.85
5389450747 0.77
5396680757 0.77
5403904208 0.82
5411104468 0.83
5418315515 0.73
5425516212 0.71
5432716055 0.81
5439911002 0.74
5447121489 0.79
5454317226 0.76
5461533306 0.8
5468741904 0.78
5475960665 0.79
5483178653 0.82
5490363230 0.85
5497563752 0.85
5504730512 0.77
5511915079 0.81
5519118393 0.85
5526330046 0.77
5533522846 0.79
5540730209 0.79
5547943752 0.85
5555147246 0.79
5562358840 0.81
5569562514 0.82
5576754052 0.84
5583946571 0.76
5591158239 0.77
5598354830 0.82
5605559360 0.78
5612761306 0.77
5619953537 0.75
5627175909 0.83
5634391341 0.81
5641593954 0.84
5648786383 0.76
5655994057 0.84
5663217383 0.83
5670438078 0.81
5677653535 0.79
5684867968 0.81
5692075301 0.78
5699276533 0.72
5706492902 0.72
5713697598 0.78
5720900206 0.76
5728117443 0.74
5735334970 0.81
5742539068 0.89
5749749074 0.81
5756957528 0.76
5764162921 0.77
5771387455 0.81
5778603938 0.82
5785816662 0.75
5793025752 0.81
5800232967 0.83
5807447221 0.82
5814661524 0.85
5821834152 0.74
5829042240 0.8
5836249840 0.79
5843472992 0.85
5850686899 0.79
5857912308 0.83
5865092197 0.77
5872313231 0.77
5879492156 0.78
5886689205 0.82
5893901056 0.77
5901118531 0.87
5908321969 0.84
5915531687 0.84
5922738295 0.75
5929930823 0.8
5937145666 0.8
5944351053 0.75
5951538296 0.79
5958745754 0.79
5965951078 0.8
5973144554 0.77
5980361053 0.83
5987559360 0.75
5994759450 0.78
6001962838 0.85
6009170301 0.77
6016388970 0.82
6023594196 0.77
6030772752 0.79
6037981863 0.79
6045178079 0.77
6052381816 0.79
6059600225 0.81
6066820820 0.8
6074021449 0.75
6081216299 0.78
6088430130 0.77
6095636351 0.82
6102841384 0.8
6110058866 0.72
6117237077 0.79
6124430601 0.76
6131632057 0.81
6138845447 0.79
6146058609 0.81
6153270985 0.81
6160495383 0.75
6167698916 0.83
6174906387 0.81
6182126989 0.81
6189343840 0.84
6196510692 0.79
6203728060 0.88
6210950360 0.91
6218161909 0.73
6225384298 0.76
6232593838 0.77
6239777674 0.85
6246984058 0.73
6254201535 0.84
6261392402 0.78
6268595963 0.8
6275806988 0.77
6283006979 0.82
6290229514 0.79
6297435056 0.72
6304650601 0.81
6311870910 0.84
6319074382 0.83
6326265238 0.79
6333474673 0.79
6340675749 0.82
6347884014 0.82
6355074362 0.74
6362263838 0.81
6369476367 0.8
