BGreg_val Voltage stddev
0 0.749435 0.00237356
1 0.73957 0.00251787
2 0.728935 0.00223095
3 0.719198 0.00199804
4 0.707698 0.00255528
5 0.694213 0.00251624
6 0.681561 0.00270204
7 0.668364 0.00304617
8 0.653341 0.0029166
9 0.638703 0.00368011
10 0.624385 0.00297925
11 0.610804 0.00281784
12 0.597159 0.00265125
13 0.582905 0.00226405
14 0.569644 0.00234157
15 0.553852 0.00226925
16 0.539983 0.00176492
