BGreg_val Voltage stddev
0 1.42248 0.0192193
1 1.40829 0.00151735
2 1.3898 0.00100223
3 1.37094 2.44249e-15
4 1.3514 0.000960937
5 1.32898 0.000960937
6 1.30367 2.66454e-15
7 1.27798 0.000448438
8 1.25037 0.0015375
9 1.22369 0.000546412
10 1.19659 0.00158579
11 1.1709 0.00159353
12 1.14473 0.00206496
13 1.11763 0.00229555
14 1.09092 0.00158093
15 1.06344 1.9984e-15
16 1.03676 0.00150615
