BGreg_val Voltage stddev
0 0.3198 0.0350613
1 0.337193 0.0375459
2 0.317558 0.0344303
3 0.310223 0.0305168
4 0.300549 0.0373876
5 0.290043 0.027999
6 0.282067 0.0366665
7 0.266916 0.0336741
8 0.257948 0.0381628
9 0.260638 0.0372794
10 0.267333 0.031581
11 0.275853 0.0353079
12 0.25183 0.0307759
13 0.233924 0.0368191
14 0.208555 0.0367283
15 0.181841 0.0327592
16 0.168548 0.0412763
