Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0435877 0.00438073
VCC_H_1.500000_VDD_Reset 1.41585 0.000448437
VCC_H_1.500000_current_1V5_Run 0.0290087 0.00376975
VCC_H_1.500000_VDD_Run 1.19816 0.0007607
VCC_H_1.500000_VDD_2_R 490.2 0.4
VCC_H_1.500000_VDD_2_L 512 0
VCC_H_1.500000_DVDD_2 632.4 0.489898
VCC_H_1.500000_BG 539.2 0.4
VCC_H_1.500000_Temp 553 0
VCC_H_1.500000_VDD_H_4 303 0
VCC_H_1.500000_OTA_R 693.3 0.458258
VCC_H_1.500000_OTA_L 723 0
VCC_H_2.000000_current_1V5_Reset 0.0439459 0.000816746
VCC_H_2.000000_VDD_Reset 1.41578 1.11022e-15
VCC_H_2.000000_current_1V5_Run 0.0289515 0.0036639
VCC_H_2.000000_VDD_Run 1.19842 0.00111144
VCC_H_2.000000_VDD_2_R 489.2 0.4
VCC_H_2.000000_VDD_2_L 511 0
VCC_H_2.000000_DVDD_2 631 0
VCC_H_2.000000_BG 538.1 0.3
VCC_H_2.000000_Temp 552 0
VCC_H_2.000000_VDD_H_4 393 0
VCC_H_2.000000_OTA_R 692.4 0.489898
VCC_H_2.000000_OTA_L 722 0
VCC_H_2.500000_current_1V5_Reset 0.0439334 0.00181934
VCC_H_2.500000_VDD_Reset 1.41578 1.11022e-15
VCC_H_2.500000_current_1V5_Run 0.0286505 0.00322322
VCC_H_2.500000_VDD_Run 1.19931 0.00158093
VCC_H_2.500000_VDD_2_R 489 0
VCC_H_2.500000_VDD_2_L 510 0
VCC_H_2.500000_DVDD_2 630.4 0.489898
VCC_H_2.500000_BG 537.9 0.3
VCC_H_2.500000_Temp 551.7 0.458258
VCC_H_2.500000_VDD_H_4 484.7 0.458258
VCC_H_2.500000_OTA_R 691.8 0.4
VCC_H_2.500000_OTA_L 721 0
VCC_H_3.000000_current_1V5_Reset 0.0438414 0.00256977
VCC_H_3.000000_VDD_Reset 1.41578 1.11022e-15
VCC_H_3.000000_current_1V5_Run 0.0289813 0.00371331
VCC_H_3.000000_VDD_Run 1.19957 0.00160156
VCC_H_3.000000_VDD_2_R 488.8 0.4
VCC_H_3.000000_VDD_2_L 509.9 0.3
VCC_H_3.000000_DVDD_2 631 0
VCC_H_3.000000_BG 538.1 0.3
VCC_H_3.000000_Temp 552 0
VCC_H_3.000000_VDD_H_4 575.2 0.4
VCC_H_3.000000_OTA_R 692 0
VCC_H_3.000000_OTA_L 721.7 0.458258
