BGreg_val Voltage stddev
0 0.737199 0.00114374
1 0.727141 0.000318707
2 0.7175 7.77156e-16
3 0.707955 0.000448437
4 0.697 0.0015692
5 0.684732 0.00134798
6 0.670542 0.00151735
7 0.657441 0.00138699
8 0.643412 0.00161146
9 0.629158 0.0017058
10 0.616153 0.0015375
11 0.60222 0.00214848
12 0.587229 0.00275748
13 0.572142 0.0018556
14 0.559714 0.00343855
15 0.544307 0.00371493
16 0.531206 0.0037824
