timestr I2C_SuccessRate
2341880309 0.31
2348172720 0.28
2354469722 0.28
2360682945 0.31
2366983808 0.29
2373182662 0.26
2379419567 0.33
2385690783 0.27
2392001934 0.32
2398278959 0.32
2404537241 0.33
2410760502 0.25
2417025807 0.33
2423323418 0.32
2429540939 0.28
2435803959 0.28
2442039219 0.25
2448394282 0.37
2454686243 0.33
2461000421 0.31
2467304583 0.28
2473493525 0.24
2479903110 0.38
2486153504 0.26
2492429935 0.26
2498665351 0.26
2504969722 0.37
2511357759 0.33
2517769656 0.37
2524048793 0.31
2530306736 0.29
2536702416 0.35
2543049244 0.38
2549297117 0.27
2555537620 0.28
2561876960 0.37
2568179089 0.34
2574570782 0.36
2580838807 0.26
2587180936 0.31
2593257656 0.19
2599541179 0.28
2605921237 0.31
2612177244 0.3
2618356025 0.23
2624563783 0.31
2630921654 0.31
2637137025 0.26
2643357650 0.28
2649709420 0.34
2656002351 0.33
2662293635 0.35
2668570655 0.29
2674910024 0.35
2681228174 0.29
2687382958 0.24
2693729570 0.36
2699801417 0.2
2706204134 0.34
2712562872 0.3
2718748415 0.27
2725064115 0.31
2731253503 0.28
2737639722 0.35
2743974654 0.29
2750217879 0.31
2756528805 0.26
2762819960 0.25
2769195514 0.36
2775492474 0.32
2781752484 0.3
2788002723 0.28
2794427928 0.36
2800636263 0.28
2806965481 0.32
2813232724 0.28
2819613420 0.36
2825973179 0.33
2832187416 0.23
2838552351 0.28
2844820655 0.26
2851064876 0.25
2857247314 0.24
2863602417 0.32
2870102633 0.37
2876514786 0.35
2882799023 0.3
2889004354 0.17
2895211632 0.26
2901506629 0.3
2907814027 0.3
2914146265 0.32
2920465420 0.32
2926712934 0.27
2933070264 0.37
2939248830 0.27
2945486350 0.27
2951889416 0.41
2958279932 0.34
2964442721 0.29
2970721942 0.31
2976978262 0.3
2983287303 0.31
2989669502 0.28
2996026961 0.29
3002281503 0.29
3008534874 0.28
3014701264 0.27
3021068263 0.34
3027387260 0.32
3033704343 0.34
3039915567 0.24
3046250104 0.3
3052550722 0.32
3058751870 0.27
3065012959 0.27
3071324933 0.33
3077675111 0.32
3083905506 0.25
3090234352 0.3
3096497327 0.3
3102833482 0.32
3109031117 0.27
3115308178 0.27
3121592266 0.31
3127834266 0.28
3134023873 0.25
3140329963 0.31
3146654959 0.35
3152937265 0.32
