BGreg_val Voltage stddev
0 0.492673 0.0497603
1 0.502282 0.0472082
2 0.476849 0.050434
3 0.486202 0.0538778
4 0.471084 0.0564609
5 0.449687 0.0479076
6 0.436938 0.0471547
7 0.440974 0.053058
8 0.410769 0.0464666
9 0.390813 0.0351979
10 0.377136 0.0424813
11 0.36269 0.0394852
12 0.343631 0.0358724
13 0.33367 0.0365017
14 0.326334 0.0389579
15 0.305034 0.0331205
16 0.294752 0.0343526
