Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 145 127 116 115 115
2e-06 172 128 118 116 115
3e-06 156 138 120 116 115
4e-06 180 144 121 116 115
5e-06 163 147 123 116 115
6e-06 196 164 124 117 116
7e-06 220 162 126 117 116
8e-06 247 171 127 118 116
9e-06 273 174 129 118 116
1e-05 283 180 131 118 116
2e-05 841 306 147 122 118
3e-05 119 453 163 125 119
4e-05 121 539 179 129 121
5e-05 123 570 195 132 122
6e-05 124 769 211 136 124
7e-05 126 889 227 139 126
8e-05 128 128 244 143 143
9e-05 129 129 260 146 129
0.0001 131 131 275 150 131
0.00011 132 132 291 153 132
0.00021 148 148 447 188 148
0.00031 165 165 607 223 165
0.00041 181 181 766 258 181
0.00051 197 197 929 293 197
0.00061 213 213 213 328 214
0.00071 230 230 230 362 230
0.00081 246 246 246 396 246
0.00091 1017 1017 1017 431 263
