HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.204601E-01 1e-06 48 80 106 105 105
+7.257033E-01 2e-06 63 71 107 105 105
+1.217137E+00 3e-06 49 103 109 106 105
+1.707772E+00 4e-06 58 99 110 106 105
+2.198155E+00 5e-06 91 124 112 106 106
+2.687635E+00 6e-06 85 165 114 107 106
+3.176355E+00 7e-06 106 168 115 107 106
+3.667287E+00 8e-06 125 160 117 107 106
+4.159837E+00 9e-06 155 194 118 108 106
+4.651777E+00 1e-05 176 207 120 108 106
+8.210533E+00 2e-05 610 251 135 111 108
+1.305961E+01 3e-05 109 435 150 114 109
+1.795375E+01 4e-05 110 466 160 118 111
+2.286042E+01 5e-05 112 640 175 121 112
+2.777568E+01 6e-05 114 735 185 124 114
+3.269065E+01 7e-05 114 719 220 127 115
+3.761029E+01 8e-05 116 1001 228 131 117
+4.253458E+01 9e-05 118 118 232 134 118
+4.746150E+01 0.0001 120 120 245 137 120
+5.233399E+01 0.00011 121 121 258 141 121
+8.626524E+01 0.00021 135 135 398 173 136
+1.380584E+02 0.00031 151 151 575 206 151
+1.909509E+02 0.00041 166 166 728 239 166
+2.434476E+02 0.00051 181 181 883 272 181
+2.949744E+02 0.00061 196 196 196 304 197
+3.456258E+02 0.00071 212 212 212 336 212
+3.957067E+02 0.00081 227 227 227 368 227
+4.453762E+02 0.00091 995 994 994 401 242
