Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 135 116 105 104 104
2e-06 148 117 106 104 104
3e-06 138 112 108 104 104
4e-06 171 127 110 105 104
5e-06 188 132 111 105 104
6e-06 198 143 112 105 104
7e-06 213 137 114 106 104
8e-06 226 148 115 106 105
9e-06 240 156 117 106 105
1e-05 269 156 118 107 105
2e-05 779 275 134 110 106
3e-05 108 404 149 113 108
4e-05 109 489 164 116 109
5e-05 111 533 179 120 111
6e-05 112 722 194 123 112
7e-05 114 848 209 126 114
8e-05 115 115 224 129 116
9e-05 117 117 239 133 117
0.0001 118 118 254 136 118
0.00011 120 120 269 139 120
0.00021 135 135 416 172 135
0.00031 150 150 567 205 150
0.00041 165 165 716 238 165
0.00051 180 180 868 271 180
0.00061 196 196 196 303 196
0.00071 211 211 211 335 211
0.00081 226 226 226 367 226
0.00091 962 962 962 400 241
