HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.226675E-01 1e-06 42 135 91 90 90
+7.299131E-01 2e-06 62 65 92 90 90
+1.225916E+00 3e-06 91 74 93 91 90
+1.717450E+00 4e-06 128 95 95 91 90
+2.211949E+00 5e-06 214 95 96 91 90
+2.704136E+00 6e-06 239 88 98 91 91
+3.198582E+00 7e-06 272 113 99 92 91
+3.689468E+00 8e-06 325 95 101 92 91
+4.181900E+00 9e-06 352 108 102 92 91
+4.676452E+00 1e-05 374 118 103 93 91
+8.258140E+00 2e-05 494 262 117 95 92
+1.312922E+01 3e-05 94 379 130 98 94
+1.804160E+01 4e-05 95 464 144 101 95
+2.297272E+01 5e-05 96 493 158 104 96
+2.790784E+01 6e-05 98 550 171 107 98
+3.284335E+01 7e-05 99 768 185 110 99
+3.778968E+01 8e-05 100 883 198 113 100
+4.273250E+01 9e-05 102 102 212 116 102
+4.768715E+01 0.0001 103 103 226 118 103
+5.257909E+01 0.00011 104 104 239 121 104
+8.667022E+01 0.00021 117 117 372 150 118
+1.387338E+02 0.00031 131 131 508 179 131
+1.919000E+02 0.00041 144 144 644 208 144
+2.446232E+02 0.00051 158 158 781 237 158
+2.963781E+02 0.00061 171 171 171 265 171
+3.472827E+02 0.00071 185 185 185 294 185
+3.976013E+02 0.00081 912 1003 1008 322 198
+4.475187E+02 0.00091 891 892 892 351 212
