Vin	Iin	Vout
4	+3.66850800E-01	0
4.05	+3.66000800E-01	0
4.1	+3.65569300E-01	10
4.15	+3.65317300E-01	0
4.2	+3.74350600E-01	0
4.25	+3.86026300E-01	0
4.3	+3.86001800E-01	0
4.35	+3.85964200E-01	0
4.4	+3.85970100E-01	0
4.45	+3.85980500E-01	10
4.5	+3.86020400E-01	0
4.55	+4.53445600E-01	1550
4.6	+4.53020000E-01	1550
4.65	+4.52644400E-01	1550
4.7	+4.52337600E-01	1550
4.75	+4.51958500E-01	1550
4.8	+4.51609600E-01	1550
4.85	+4.51371200E-01	1550
4.9	+4.51022800E-01	1540
4.95	+4.50741200E-01	1550
5	+4.50435400E-01	1550
