HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.203602E-01 1e-06 57 80 113 112 111
+7.255509E-01 2e-06 75 106 114 112 112
+1.219192E+00 3e-06 59 119 116 112 112
+1.712093E+00 4e-06 77 133 117 113 112
+2.204678E+00 5e-06 94 167 119 113 112
+2.696222E+00 6e-06 107 174 121 113 112
+3.190473E+00 7e-06 158 199 122 114 112
+3.682704E+00 8e-06 177 192 124 114 112
+4.175686E+00 9e-06 164 192 126 114 113
+4.669750E+00 1e-05 236 195 127 115 113
+8.231917E+00 2e-05 551 243 143 118 114
+1.310175E+01 3e-05 116 308 158 121 116
+1.801816E+01 4e-05 117 438 179 125 118
+2.295054E+01 5e-05 119 603 181 128 119
+2.788142E+01 6e-05 121 825 207 132 121
+3.282019E+01 7e-05 122 747 219 135 122
+3.776301E+01 8e-05 124 124 235 139 124
+4.270580E+01 9e-05 125 125 251 142 125
+4.765332E+01 0.0001 127 127 272 146 127
+5.254931E+01 0.00011 128 128 286 149 128
+8.656800E+01 0.00021 144 144 438 184 144
+1.386160E+02 0.00031 160 160 595 218 160
+1.917728E+02 0.00041 176 176 774 253 176
+2.445033E+02 0.00051 192 192 936 288 192
+2.962515E+02 0.00061 208 208 208 322 208
+3.471643E+02 0.00071 224 224 224 357 224
+3.974942E+02 0.00081 240 240 240 391 240
+4.474553E+02 0.00091 256 256 256 426 256
