Vin	Iin	Vout
4	+3.44768300E-02	0
4.05	+3.45138600E-02	10
4.1	+3.45434200E-02	10
4.15	+3.45769900E-02	10
4.2	+3.69343300E-02	10
4.25	+3.69463200E-02	10
4.3	+3.69769600E-02	0
4.35	+3.70017300E-02	10
4.4	+3.70379500E-02	10
4.45	+3.70342200E-02	10
4.5	+3.70174400E-02	0
4.55	+1.03713600E-01	1550
4.6	+1.03307700E-01	1550
4.65	+1.02928100E-01	1550
4.7	+1.02565100E-01	1550
4.75	+1.02244900E-01	1550
4.8	+1.01876000E-01	1550
4.85	+1.01538500E-01	1550
4.9	+1.01198900E-01	1550
4.95	+1.00798200E-01	1550
5	+1.00531100E-01	1550
