Vin	Iin	Vout
4	+3.70129200E-02	0
4.05	+3.69742900E-02	0
4.1	+3.69748200E-02	0
4.15	+3.93628000E-02	0
4.2	+3.94115500E-02	0
4.25	+3.94230000E-02	0
4.3	+3.94672200E-02	0
4.35	+3.94943900E-02	0
4.4	+3.95402100E-02	0
4.45	+3.95660400E-02	0
4.5	+3.75118200E-02	0
4.55	+1.04514600E-01	1510
4.6	+1.04190200E-01	1510
4.65	+1.03811900E-01	1510
4.7	+1.03498400E-01	1510
4.75	+1.03095100E-01	1510
4.8	+1.02744600E-01	1510
4.85	+1.02380700E-01	1510
4.9	+1.02035500E-01	1510
4.95	+1.01783500E-01	1510
5	+1.01411400E-01	1510
