Vin	Iin	Vout
4	+3.66640600E-01	0
4.05	+3.65816500E-01	0
4.1	+3.65410500E-01	0
4.15	+3.65172700E-01	0
4.2	+3.74220300E-01	0
4.25	+3.85844300E-01	0
4.3	+3.85794600E-01	0
4.35	+3.85763900E-01	0
4.4	+3.85811100E-01	0
4.45	+3.85830000E-01	0
4.5	+3.85856100E-01	0
4.55	+3.85804700E-01	0
4.6	+4.51503000E-01	1510
4.65	+4.51225500E-01	1510
4.7	+4.50896000E-01	1510
4.75	+4.50517500E-01	1510
4.8	+4.50284700E-01	1510
4.85	+4.49933900E-01	1510
4.9	+4.49637400E-01	1510
4.95	+4.49392300E-01	1510
5	+4.49087100E-01	1510
