Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 83 106 119 118 118
1.1e-06 116 107 119 118 118
1.2e-06 110 87 119 118 118
1.3e-06 87 86 119 118 118
1.4e-06 91 96 119 118 118
1.5e-06 97 96 119 118 118
1.6e-06 147 102 121 118 118
1.7e-06 173 104 121 118 118
1.8e-06 149 102 121 118 118
1.9e-06 136 105 121 118 118
2.9e-06 213 135 122 119 118
3.9e-06 249 137 124 119 118
4.9e-06 246 163 126 119 118
5.9e-06 260 183 127 120 118
6.9e-06 291 199 129 120 119
7.9e-06 304 217 130 120 119
8.9e-06 358 227 132 121 119
9.9e-06 374 242 134 121 119
1.09e-05 412 235 135 121 119
1.19e-05 476 253 137 122 119
2.19e-05 757 317 153 125 121
3.19e-05 123 381 169 129 123
4.19e-05 124 496 185 132 124
5.19e-05 126 735 201 136 126
6.19e-05 127 780 217 139 128
7.19e-05 129 860 234 143 129
8.19e-05 131 131 249 146 131
9.19e-05 132 132 265 149 132
0.0001019 134 134 282 153 134
0.0001119 135 135 298 157 135
0.0002119 152 152 456 192 151
0.0003119 168 168 617 227 168
0.0004119 184 184 779 262 184
0.0005119 200 200 942 297 200
0.0006119 217 217 217 332 217
0.0007119 233 233 233 367 233
0.0008119 249 249 249 402 249
0.0009119 266 266 266 437 266
