Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 122 108 99 98 98
2e-06 149 126 100 98 98
3e-06 145 125 101 98 98
4e-06 182 129 103 99 98
5e-06 195 150 104 99 98
6e-06 176 143 105 99 98
7e-06 178 156 107 99 98
8e-06 231 152 108 100 98
9e-06 221 146 109 100 99
1e-05 240 165 110 100 99
2e-05 659 220 123 103 100
3e-05 957 349 137 106 101
4e-05 102 422 150 109 102
5e-05 104 497 163 111 104
6e-05 105 571 176 114 105
7e-05 106 752 189 117 106
8e-05 108 833 202 120 108
9e-05 109 951 215 122 109
0.0001 110 110 228 125 110
0.00011 111 111 241 128 111
0.00021 124 124 370 155 124
0.00031 136 136 488 181 136
0.00041 136 136 489 181 136
0.00051 136 136 490 181 136
0.00061 136 136 490 181 136
0.00071 136 136 490 181 136
0.00081 136 136 490 181 136
0.00091 136 136 490 181 136
