Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 120 113 104 103 103
1.1e-06 126 115 104 103 103
1.2e-06 123 114 104 103 103
1.3e-06 120 114 104 103 103
1.4e-06 122 114 104 103 103
1.5e-06 123 114 104 103 103
1.6e-06 145 123 106 103 103
1.7e-06 150 123 106 103 103
1.8e-06 147 123 106 103 103
1.9e-06 154 127 106 103 103
2.9e-06 179 130 107 104 103
3.9e-06 220 146 109 104 103
4.9e-06 249 154 111 104 103
5.9e-06 283 160 112 105 103
6.9e-06 289 161 114 105 104
7.9e-06 310 173 115 105 104
8.9e-06 341 176 117 106 104
9.9e-06 354 188 118 106 104
1.09e-05 368 183 120 106 104
1.19e-05 416 199 122 107 105
2.19e-05 852 310 137 110 106
3.19e-05 108 449 153 113 108
4.19e-05 109 577 168 117 109
5.19e-05 111 660 185 120 111
6.19e-05 112 805 200 123 112
7.19e-05 114 920 216 127 114
8.19e-05 116 116 232 130 116
9.19e-05 117 117 247 134 117
0.0001019 119 119 262 137 119
0.0001119 120 120 278 140 120
0.0002119 136 136 432 174 136
0.0003119 152 152 589 208 152
0.0004119 168 168 745 242 168
0.0005119 184 184 904 276 184
0.0006119 200 200 200 309 200
0.0007119 216 216 216 342 216
0.0008119 980 980 980 375 232
0.0009119 976 976 976 410 248
