HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.261295E-01 1e-06 47 42 101 100 99
+7.326249E-01 2e-06 59 61 102 100 100
+1.225365E+00 3e-06 55 71 104 100 100
+1.718057E+00 4e-06 53 76 105 100 100
+2.210001E+00 5e-06 80 88 107 101 100
+2.701428E+00 6e-06 80 98 108 101 100
+3.194626E+00 7e-06 92 113 110 102 100
+3.687516E+00 8e-06 114 136 111 102 100
+4.179197E+00 9e-06 104 145 113 102 101
+4.671024E+00 1e-05 147 168 114 103 101
+8.252018E+00 2e-05 695 289 129 106 102
+1.311692E+01 3e-05 104 384 145 109 104
+1.802273E+01 4e-05 105 550 160 112 105
+2.295426E+01 5e-05 107 588 179 116 107
+2.788529E+01 6e-05 108 652 194 119 108
+3.282228E+01 7e-05 110 678 204 122 110
+3.776529E+01 8e-05 111 111 220 126 111
+4.270523E+01 9e-05 113 113 242 129 113
+4.765864E+01 0.0001 115 115 250 132 114
+5.255136E+01 0.00011 115 115 262 136 116
+8.662042E+01 0.00021 131 131 412 169 131
+1.386309E+02 0.00031 146 146 576 202 147
+1.917731E+02 0.00041 162 162 731 236 162
+2.445228E+02 0.00051 178 178 886 270 178
+2.962700E+02 0.00061 193 193 193 303 193
+3.471477E+02 0.00071 209 209 209 336 209
+3.974406E+02 0.00081 224 224 224 369 224
+4.473128E+02 0.00091 995 995 995 403 240
