BandgapControl Vin VinADC
0 6 415
0 6.1 421
0 6.2 428
0 6.3 435
0 6.4 441
0 6.5 448
0 6.6 455
0 6.7 461
0 6.8 468
0 6.9 475
0 7 481
0 7.1 488
0 7.2 495
0 7.3 502
0 7.4 508
0 7.5 515
0 7.6 521
0 7.7 529
0 7.8 535
0 7.9 542
0 8 548
0 8.1 555
0 8.2 562
0 8.3 568
0 8.4 575
0 8.5 582
0 8.6 589
0 8.7 596
0 8.8 602
0 8.9 608
0 9 615
0 9.1 622
0 9.2 628
0 9.3 635
0 9.4 642
0 9.5 648
0 9.6 655
0 9.7 662
0 9.8 668
0 9.9 675
0 10 682
0 10.1 688
0 10.2 695
0 10.3 702
0 10.4 708
0 10.5 715
0 10.6 722
0 10.7 729
0 10.8 735
0 10.9 742
0 11 749
0 11.1 755
0 11.2 762
0 11.3 769
0 11.4 775
0 11.5 782
0 11.6 789
0 11.7 796
0 11.8 803
0 11.9 809
0 12 816
1 6 420
1 6.1 426
1 6.2 433
1 6.3 440
1 6.4 447
1 6.5 453
1 6.6 460
1 6.7 467
1 6.8 474
1 6.9 480
1 7 487
1 7.1 494
1 7.2 501
1 7.3 508
1 7.4 514
1 7.5 521
1 7.6 528
1 7.7 535
1 7.8 541
1 7.9 548
1 8 555
1 8.1 0
1 8.2 569
1 8.3 575
1 8.4 582
1 8.5 589
1 8.6 595
1 8.7 602
1 8.8 609
1 8.9 616
1 9 622
1 9.1 629
1 9.2 636
1 9.3 643
1 9.4 650
1 9.5 656
1 9.6 663
1 9.7 670
1 9.8 676
1 9.9 683
1 10 690
1 10.1 697
1 10.2 703
1 10.3 710
1 10.4 717
1 10.5 724
1 10.6 730
1 10.7 737
1 10.8 744
1 10.9 751
1 11 757
1 11.1 764
1 11.2 771
1 11.3 778
1 11.4 785
1 11.5 791
1 11.6 798
1 11.7 805
1 11.8 812
1 11.9 819
1 12 826
2 6 425
2 6.1 432
2 6.2 438
2 6.3 445
2 6.4 452
2 6.5 459
2 6.6 466
2 6.7 473
2 6.8 480
2 6.9 487
2 7 493
2 7.1 500
2 7.2 507
2 7.3 514
2 7.4 521
2 7.5 528
2 7.6 534
2 7.7 542
2 7.8 548
2 7.9 555
2 8 562
2 8.1 569
2 8.2 575
2 8.3 582
2 8.4 589
2 8.5 596
2 8.6 603
2 8.7 610
2 8.8 616
2 8.9 623
2 9 630
2 9.1 637
2 9.2 643
2 9.3 651
2 9.4 658
2 9.5 665
2 9.6 671
2 9.7 679
2 9.8 685
2 9.9 692
2 10 699
2 10.1 705
2 10.2 712
2 10.3 719
2 10.4 726
2 10.5 733
2 10.6 740
2 10.7 747
2 10.8 753
2 10.9 760
2 11 767
2 11.1 774
2 11.2 781
2 11.3 788
2 11.4 795
2 11.5 802
2 11.6 809
2 11.7 815
2 11.8 822
2 11.9 829
2 12 836
3 6 430
3 6.1 437
3 6.2 444
3 6.3 451
3 6.4 458
3 6.5 465
3 6.6 472
3 6.7 479
3 6.8 486
3 6.9 493
3 7 500
3 7.1 507
3 7.2 513
3 7.3 521
3 7.4 528
3 7.5 535
3 7.6 541
3 7.7 548
3 7.8 555
3 7.9 562
3 8 569
3 8.1 576
3 8.2 583
3 8.3 590
3 8.4 597
3 8.5 604
3 8.6 611
3 8.7 618
3 8.8 625
3 8.9 632
3 9 639
3 9.1 645
3 9.2 652
3 9.3 659
3 9.4 666
3 9.5 674
3 9.6 680
3 9.7 687
3 9.8 694
3 9.9 701
3 10 708
3 10.1 715
3 10.2 722
3 10.3 729
3 10.4 736
3 10.5 743
3 10.6 750
3 10.7 757
3 10.8 764
3 10.9 771
3 11 778
3 11.1 784
3 11.2 792
3 11.3 799
3 11.4 806
3 11.5 812
3 11.6 819
3 11.7 826
3 11.8 834
3 11.9 841
3 12 847
4 6 436
4 6.1 443
4 6.2 450
4 6.3 457
4 6.4 464
4 6.5 472
4 6.6 479
4 6.7 486
4 6.8 493
4 6.9 500
4 7 507
4 7.1 0
4 7.2 521
4 7.3 528
4 7.4 535
4 7.5 542
4 7.6 549
4 7.7 556
4 7.8 563
4 7.9 570
4 8 577
4 8.1 584
4 8.2 591
4 8.3 598
4 8.4 605
4 8.5 612
4 8.6 620
4 8.7 626
4 8.8 633
4 8.9 641
4 9 648
4 9.1 655
4 9.2 662
4 9.3 669
4 9.4 676
4 9.5 683
4 9.6 690
4 9.7 697
4 9.8 704
4 9.9 711
4 10 718
4 10.1 725
4 10.2 732
4 10.3 739
4 10.4 746
4 10.5 753
4 10.6 760
4 10.7 767
4 10.8 775
4 10.9 781
4 11 788
4 11.1 795
4 11.2 803
4 11.3 810
4 11.4 817
4 11.5 824
4 11.6 831
4 11.7 838
4 11.8 845
4 11.9 852
4 12 860
5 6 443
5 6.1 450
5 6.2 457
5 6.3 464
5 6.4 471
5 6.5 479
5 6.6 486
5 6.7 493
5 6.8 500
5 6.9 507
5 7 514
5 7.1 521
5 7.2 529
5 7.3 536
5 7.4 543
5 7.5 550
5 7.6 557
5 7.7 564
5 7.8 572
5 7.9 579
5 8 586
5 8.1 593
5 8.2 600
5 8.3 607
5 8.4 614
5 8.5 621
5 8.6 629
5 8.7 636
5 8.8 643
5 8.9 650
5 9 658
5 9.1 665
5 9.2 671
5 9.3 679
5 9.4 686
5 9.5 693
5 9.6 700
5 9.7 708
5 9.8 715
5 9.9 722
5 10 729
5 10.1 736
5 10.2 744
5 10.3 751
5 10.4 758
5 10.5 765
5 10.6 772
5 10.7 779
5 10.8 786
5 10.9 793
5 11 801
5 11.1 808
5 11.2 815
5 11.3 822
5 11.4 829
5 11.5 837
5 11.6 844
5 11.7 851
5 11.8 858
5 11.9 866
5 12 873
6 6 451
6 6.1 458
6 6.2 465
6 6.3 473
6 6.4 480
6 6.5 487
6 6.6 494
6 6.7 502
6 6.8 509
6 6.9 516
6 7 523
6 7.1 531
6 7.2 538
6 7.3 545
6 7.4 552
6 7.5 560
6 7.6 567
6 7.7 574
6 7.8 582
6 7.9 589
6 8 596
6 8.1 603
6 8.2 611
6 8.3 618
6 8.4 625
6 8.5 633
6 8.6 640
6 8.7 647
6 8.8 654
6 8.9 662
6 9 669
6 9.1 676
6 9.2 684
6 9.3 691
6 9.4 698
6 9.5 706
6 9.6 713
6 9.7 720
6 9.8 728
6 9.9 735
6 10 742
6 10.1 749
6 10.2 757
6 10.3 764
6 10.4 772
6 10.5 779
6 10.6 787
6 10.7 793
6 10.8 801
6 10.9 808
6 11 816
6 11.1 823
6 11.2 830
6 11.3 837
6 11.4 845
6 11.5 852
6 11.6 859
6 11.7 867
6 11.8 875
6 11.9 882
6 12 889
7 6 460
7 6.1 467
7 6.2 475
7 6.3 482
7 6.4 489
7 6.5 497
7 6.6 504
7 6.7 511
7 6.8 519
7 6.9 526
7 7 534
7 7.1 541
7 7.2 548
7 7.3 556
7 7.4 563
7 7.5 571
7 7.6 578
7 7.7 586
7 7.8 593
7 7.9 601
7 8 608
7 8.1 616
7 8.2 623
7 8.3 630
7 8.4 638
7 8.5 645
7 8.6 653
7 8.7 660
7 8.8 668
7 8.9 675
7 9 682
7 9.1 690
7 9.2 697
7 9.3 705
7 9.4 712
7 9.5 720
7 9.6 727
7 9.7 735
7 9.8 742
7 9.9 750
7 10 757
7 10.1 764
7 10.2 772
7 10.3 780
7 10.4 787
7 10.5 794
7 10.6 802
7 10.7 809
7 10.8 817
7 10.9 824
7 11 832
7 11.1 839
7 11.2 847
7 11.3 855
7 11.4 862
7 11.5 869
7 11.6 877
7 11.7 884
7 11.8 892
7 11.9 899
7 12 907
8 6 469
8 6.1 477
8 6.2 484
8 6.3 492
8 6.4 499
8 6.5 507
8 6.6 515
8 6.7 522
8 6.8 530
8 6.9 537
8 7 545
8 7.1 552
8 7.2 560
8 7.3 568
8 7.4 575
8 7.5 583
8 7.6 591
8 7.7 598
8 7.8 606
8 7.9 613
8 8 621
8 8.1 629
8 8.2 636
8 8.3 644
8 8.4 651
8 8.5 659
8 8.6 666
8 8.7 674
8 8.8 682
8 8.9 689
8 9 697
8 9.1 705
8 9.2 712
8 9.3 720
8 9.4 727
8 9.5 735
8 9.6 743
8 9.7 750
8 9.8 758
8 9.9 765
8 10 773
8 10.1 780
8 10.2 788
8 10.3 796
8 10.4 803
8 10.5 811
8 10.6 819
8 10.7 827
8 10.8 834
8 10.9 842
8 11 850
8 11.1 857
8 11.2 865
8 11.3 872
8 11.4 880
8 11.5 888
8 11.6 895
8 11.7 903
8 11.8 911
8 11.9 918
8 12 926
9 6 479
9 6.1 487
9 6.2 494
9 6.3 502
9 6.4 510
9 6.5 518
9 6.6 525
9 6.7 533
9 6.8 540
9 6.9 549
9 7 556
9 7.1 564
9 7.2 572
9 7.3 0
9 7.4 587
9 7.5 595
9 7.6 603
9 7.7 611
9 7.8 619
9 7.9 626
9 8 634
9 8.1 642
9 8.2 650
9 8.3 657
9 8.4 665
9 8.5 673
9 8.6 681
9 8.7 689
9 8.8 697
9 8.9 704
9 9 712
9 9.1 720
9 9.2 727
9 9.3 735
9 9.4 743
9 9.5 751
9 9.6 759
9 9.7 767
9 9.8 774
9 9.9 782
9 10 790
9 10.1 798
9 10.2 806
