Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 119 114 105 104 104
2e-06 140 120 107 105 104
3e-06 180 134 109 105 104
4e-06 241 149 110 105 104
5e-06 228 158 111 106 105
6e-06 254 175 113 106 105
7e-06 279 167 114 106 105
8e-06 307 167 116 106 105
9e-06 315 187 117 107 105
1e-05 351 196 119 107 105
2e-05 726 296 134 110 107
3e-05 108 430 149 113 108
4e-05 110 552 164 117 110
5e-05 111 638 180 120 111
6e-05 113 765 195 123 113
7e-05 114 873 210 126 114
8e-05 116 116 225 129 116
9e-05 117 117 240 133 117
0.0001 119 119 255 136 118
0.00011 120 120 270 139 120
0.00021 135 135 419 172 135
0.00031 150 150 572 204 150
0.00041 165 165 724 236 165
0.00051 180 180 877 269 180
0.00061 195 195 195 301 195
0.00071 211 211 211 333 210
0.00081 225 225 225 365 226
0.00091 962 962 963 397 241
