HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.257297E-01 1e-06 45 40 95 94 94
+7.325267E-01 2e-06 69 43 97 94 94
+1.228731E+00 3e-06 50 58 98 95 94
+1.722328E+00 4e-06 70 59 100 95 94
+2.216122E+00 5e-06 105 77 101 95 94
+2.709267E+00 6e-06 67 78 102 96 95
+3.204111E+00 7e-06 73 91 104 96 95
+3.697555E+00 8e-06 114 80 105 96 95
+4.192815E+00 9e-06 102 111 107 96 95
+4.686398E+00 1e-05 148 129 108 97 95
+8.399405E+00 2e-05 685 371 122 100 97
+1.326825E+01 3e-05 97 414 137 103 98
+1.815111E+01 4e-05 99 531 152 106 100
+2.304629E+01 5e-05 102 591 164 109 101
+2.795336E+01 6e-05 102 540 174 113 103
+3.286784E+01 7e-05 104 620 185 116 104
+3.779226E+01 8e-05 105 943 205 119 105
+4.272499E+01 9e-05 107 107 215 122 107
+4.766279E+01 0.0001 108 108 229 125 108
+5.254721E+01 0.00011 110 110 254 128 110
+8.553838E+01 0.00021 124 124 412 160 124
+1.371787E+02 0.00031 139 139 543 192 139
+1.906145E+02 0.00041 152 152 690 224 154
+2.437840E+02 0.00051 169 169 835 256 169
+2.957985E+02 0.00061 184 184 184 287 184
+3.468036E+02 0.00071 198 198 198 318 198
+3.971189E+02 0.00081 952 952 953 350 213
+4.470245E+02 0.00091 941 941 941 381 228
