Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 119 72 99 97 97
2e-06 121 80 100 98 97
3e-06 122 81 101 98 97
4e-06 115 88 103 98 98
5e-06 135 96 104 99 98
6e-06 153 121 105 99 98
7e-06 182 124 107 99 98
8e-06 224 133 108 99 98
9e-06 255 157 110 100 98
1e-05 283 171 111 100 98
2e-05 712 308 125 103 100
3e-05 101 400 140 106 101
4e-05 103 506 154 109 103
5e-05 104 607 168 112 104
6e-05 105 621 183 115 105
7e-05 107 789 165 118 107
8e-05 108 925 211 121 108
9e-05 110 110 225 124 110
0.0001 111 111 239 127 111
0.00011 112 112 253 130 113
0.00021 126 126 393 161 127
0.00031 140 140 535 207 140
0.00041 155 155 677 222 155
0.00051 169 169 820 252 169
0.00061 183 183 183 282 183
0.00071 197 197 197 312 197
0.00081 938 938 938 342 211
0.00091 933 933 933 373 226
