Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 127 108 103 102 102
1.1e-06 144 93 103 102 102
1.2e-06 134 98 103 102 102
1.3e-06 142 100 103 102 102
1.4e-06 132 98 103 102 102
1.5e-06 132 96 103 102 102
1.6e-06 129 98 104 102 102
1.7e-06 145 108 104 102 102
1.8e-06 134 99 104 102 102
1.9e-06 130 106 104 102 102
2.9e-06 134 104 106 102 102
3.9e-06 136 113 107 103 102
4.9e-06 163 150 109 103 102
5.9e-06 168 141 111 103 102
6.9e-06 274 125 112 104 102
7.9e-06 234 135 113 104 103
8.9e-06 237 203 115 104 103
9.9e-06 269 154 117 105 103
1.09e-05 305 156 118 105 103
1.19e-05 343 204 120 105 103
2.19e-05 816 345 135 108 105
3.19e-05 106 461 150 112 106
4.19e-05 108 559 165 115 108
5.19e-05 109 599 181 118 109
6.19e-05 111 752 196 122 111
7.19e-05 112 897 211 125 112
8.19e-05 114 114 226 128 114
9.19e-05 115 115 242 131 115
0.0001019 117 117 257 135 117
0.0001119 118 118 272 138 118
0.0002119 133 133 422 171 133
0.0003119 148 148 574 204 148
0.0004119 164 164 727 237 164
0.0005119 179 179 881 269 179
0.0006119 194 194 194 302 194
0.0007119 209 209 209 334 209
0.0008119 978 978 978 367 225
0.0009119 973 973 973 400 240
