Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 99 108 90 89 89
2e-06 158 118 91 89 89
3e-06 151 119 92 89 89
4e-06 131 129 93 89 89
5e-06 196 118 94 90 89
6e-06 166 142 96 90 89
7e-06 160 136 97 90 89
8e-06 179 132 98 90 89
9e-06 214 134 99 91 90
1e-05 209 132 100 91 90
2e-05 613 200 112 94 91
3e-05 869 330 124 96 92
4e-05 93 398 136 99 93
5e-05 94 442 148 101 94
6e-05 95 521 159 104 95
7e-05 96 696 171 106 97
8e-05 98 761 183 109 98
9e-05 99 863 195 111 99
0.0001 100 100 206 114 100
0.00011 101 101 218 116 101
0.00021 113 113 333 141 113
0.00031 123 123 439 164 124
0.00041 123 123 441 165 124
0.00051 124 124 441 165 124
0.00061 124 124 441 165 124
0.00071 124 124 441 165 124
0.00081 124 124 441 165 124
0.00091 124 124 441 165 124
