HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.048579E-01 1e-06 61 67 97 96 96
+7.089432E-01 2e-06 78 71 98 96 96
+1.205100E+00 3e-06 103 70 99 97 96
+1.697689E+00 4e-06 160 85 100 97 96
+2.190278E+00 5e-06 190 83 102 97 96
+2.684125E+00 6e-06 97 93 103 97 97
+3.178681E+00 7e-06 286 123 104 98 97
+3.673169E+00 8e-06 292 115 105 98 97
+4.168321E+00 9e-06 324 140 107 98 97
+4.662313E+00 1e-05 337 176 108 98 97
+8.325491E+00 2e-05 450 276 120 101 98
+1.324613E+01 3e-05 819 334 132 103 99
+1.817716E+01 4e-05 100 388 144 106 101
+2.310935E+01 5e-05 102 506 156 109 102
+2.804870E+01 6e-05 103 611 168 111 103
+3.298582E+01 7e-05 104 648 180 114 104
+3.792851E+01 8e-05 105 709 191 116 105
+4.287409E+01 9e-05 106 872 203 119 106
+4.782520E+01 0.0001 108 108 215 121 108
+5.272130E+01 0.00011 109 109 227 124 109
+8.758750E+01 0.00021 119 119 343 149 120
+1.381609E+02 0.00031 132 132 462 174 132
+1.911980E+02 0.00041 143 143 582 199 144
+2.442768E+02 0.00051 155 155 701 224 155
+2.962746E+02 0.00061 167 167 820 248 167
+3.473221E+02 0.00071 178 178 942 272 178
+3.977027E+02 0.00081 190 190 190 297 190
+4.476747E+02 0.00091 201 201 201 321 201
