Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 113 103 93 91 91
2e-06 121 89 94 92 91
3e-06 171 87 95 92 91
4e-06 132 106 97 92 91
5e-06 140 113 98 93 92
6e-06 154 121 99 93 92
7e-06 216 116 101 93 92
8e-06 194 121 102 93 92
9e-06 226 269 104 94 92
1e-05 253 134 105 94 92
2e-05 747 278 119 97 94
3e-05 95 425 133 100 95
4e-05 96 522 148 103 96
5e-05 98 539 162 106 98
6e-05 99 652 176 109 99
7e-05 101 792 190 112 101
8e-05 102 102 204 115 102
9e-05 103 103 218 118 103
0.0001 105 105 232 121 105
0.00011 106 106 246 124 106
0.00021 120 120 387 155 120
0.00031 134 134 530 186 134
0.00041 148 148 673 216 148
0.00051 162 162 817 247 162
0.00061 176 176 176 278 176
0.00071 191 191 191 308 190
0.00081 205 205 205 339 205
0.00091 219 219 219 370 219
