Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 111 96 97 95 95
2e-06 134 88 98 96 95
3e-06 153 105 99 96 96
4e-06 135 102 101 96 96
5e-06 156 112 102 97 96
6e-06 157 120 104 97 96
7e-06 201 115 105 97 96
8e-06 205 126 107 98 96
9e-06 254 159 108 98 96
1e-05 268 145 109 98 96
2e-05 753 295 124 101 98
3e-05 99 430 138 104 99
4e-05 101 515 153 108 101
5e-05 102 561 167 111 102
6e-05 104 692 182 114 104
7e-05 105 815 196 117 105
8e-05 107 107 210 120 107
9e-05 108 108 225 123 108
0.0001 110 110 239 126 109
0.00011 111 111 253 129 111
0.00021 125 125 394 161 125
0.00031 140 140 538 192 140
0.00041 154 154 682 224 155
0.00051 169 169 827 255 169
0.00061 184 184 184 286 184
0.00071 198 198 198 317 198
0.00081 213 213 213 347 213
0.00091 927 927 927 379 228
