Vin	Iin	Vout
4	+3.67086800E-01	0
4.05	+3.66291700E-01	0
4.1	+3.65859600E-01	0
4.15	+3.67795900E-01	0
4.2	+3.72361900E-01	0
4.25	+3.86299600E-01	0
4.3	+3.86236400E-01	0
4.35	+3.86212200E-01	0
4.4	+3.86245000E-01	0
4.45	+3.86221800E-01	0
4.5	+3.86288900E-01	0
4.55	+4.53169700E-01	1530
4.6	+4.52805000E-01	1530
4.65	+4.52527200E-01	1530
4.7	+4.52202000E-01	1530
4.75	+4.51846400E-01	1530
4.8	+4.51576000E-01	1530
4.85	+4.51266200E-01	1530
4.9	+4.50938600E-01	1530
4.95	+4.50670400E-01	1530
5	+4.50388000E-01	1530
