Vin	Iin	Vout
4	+3.46680800E-02	0
4.05	+3.45940300E-02	10
4.1	+3.45237100E-02	10
4.15	+3.99357600E-02	10
4.2	+3.99722500E-02	10
4.25	+4.00002200E-02	10
4.3	+3.99861000E-02	10
4.35	+4.00273900E-02	0
4.4	+4.00226000E-02	10
4.45	+4.00537600E-02	0
4.5	+4.00487000E-02	0
4.55	+4.00577600E-02	10
4.6	+1.36130000E-01	2920
4.65	+4.20608400E-02	10
4.7	+4.20818800E-02	10
4.75	+1.52931600E-01	2260
4.8	+1.52921800E-01	2270
4.85	+1.52866900E-01	2270
4.9	+1.52899900E-01	2270
4.95	+1.52883400E-01	2270
5	+1.52943900E-01	2270
