Vin	Iin	Vout
4	+3.66892300E-01	0
4.05	+3.66009600E-01	0
4.1	+3.65630000E-01	0
4.15	+3.67684000E-01	0
4.2	+3.72190100E-01	0
4.25	+3.86172800E-01	0
4.3	+3.86086700E-01	0
4.35	+3.86071000E-01	0
4.4	+3.86087300E-01	0
4.45	+3.86110200E-01	0
4.5	+3.86143500E-01	0
4.55	+4.52330100E-01	1530
4.6	+4.51976900E-01	1530
4.65	+4.51595500E-01	1530
4.7	+4.51328300E-01	1530
4.75	+4.50982800E-01	1530
4.8	+4.50701500E-01	1530
4.85	+4.50360100E-01	1530
4.9	+4.50090200E-01	1530
4.95	+4.49789000E-01	1530
5	+4.49539400E-01	1530
