Vin	Iin	Vout
4	+3.67230900E-01	0
4.05	+3.66332900E-01	0
4.1	+3.65874500E-01	0
4.15	+3.65581000E-01	0
4.2	+3.76772900E-01	0
4.25	+3.86561200E-01	0
4.3	+3.86404000E-01	0
4.35	+3.86329400E-01	0
4.4	+3.86314700E-01	0
4.45	+3.86284600E-01	0
4.5	+3.86335300E-01	0
4.55	+4.53932600E-01	1560
4.6	+4.53516500E-01	1560
4.65	+4.53231200E-01	1560
4.7	+4.52877000E-01	1560
4.75	+4.52572200E-01	1560
4.8	+4.52232900E-01	1560
4.85	+4.51972900E-01	1560
4.9	+4.51648200E-01	1560
4.95	+4.51416700E-01	1560
5	+4.51078200E-01	1560
