HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.212631E-01 1e-06 46 92 102 102 101
+7.296653E-01 2e-06 59 86 104 102 102
+1.223758E+00 3e-06 93 95 105 102 102
+1.717857E+00 4e-06 144 94 107 102 102
+2.210805E+00 5e-06 200 103 108 103 102
+2.701076E+00 6e-06 199 98 110 103 102
+3.194174E+00 7e-06 259 97 111 103 102
+3.691031E+00 8e-06 306 106 113 104 102
+4.183720E+00 9e-06 365 123 114 104 103
+4.677967E+00 1e-05 310 111 116 104 103
+8.258140E+00 2e-05 480 260 130 107 104
+1.313103E+01 3e-05 105 399 145 110 105
+1.804897E+01 4e-05 107 478 160 114 107
+2.298167E+01 5e-05 108 505 174 117 108
+2.792310E+01 6e-05 108 637 189 120 110
+3.286411E+01 7e-05 111 865 204 123 111
+3.781518E+01 8e-05 113 960 219 126 113
+4.276617E+01 9e-05 114 114 234 129 114
+4.771915E+01 0.0001 115 115 248 132 115
+5.262166E+01 0.00011 117 117 263 135 117
+8.668432E+01 0.00021 130 130 408 166 131
+1.387867E+02 0.00031 145 145 556 198 146
+1.920539E+02 0.00041 160 160 705 229 160
+2.448551E+02 0.00051 174 174 853 260 175
+2.966633E+02 0.00061 189 189 189 291 189
+3.476561E+02 0.00071 203 203 203 322 203
+3.980289E+02 0.00081 218 218 218 353 218
+4.479944E+02 0.00091 997 997 998 384 232
