Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 128 113 107 106 106
2e-06 152 129 109 106 106
3e-06 164 130 110 107 106
4e-06 168 146 112 107 106
5e-06 192 135 113 107 106
6e-06 183 144 115 108 107
7e-06 206 153 116 108 107
8e-06 222 163 118 108 107
9e-06 235 155 119 109 107
1e-05 263 170 121 109 107
2e-05 825 274 136 112 109
3e-05 110 414 151 115 110
4e-05 112 503 165 118 112
5e-05 113 544 180 121 113
6e-05 114 710 195 124 114
7e-05 116 860 210 112 116
8e-05 117 976 225 131 117
9e-05 119 119 240 134 119
0.0001 120 120 255 137 120
0.00011 122 122 269 140 122
0.00021 136 136 416 172 136
0.00031 151 151 566 203 151
0.00041 166 166 716 234 166
0.00051 181 181 866 265 180
0.00061 195 195 195 297 195
0.00071 210 210 210 328 210
0.00081 225 225 225 358 225
0.00091 239 239 239 390 240
