Vin	Iin	Vout
4	+3.43505700E-02	0
4.05	+3.42056700E-02	0
4.1	+3.40996600E-02	0
4.15	+3.62034300E-02	0
4.2	+3.61168600E-02	0
4.25	+3.60406700E-02	0
4.3	+3.59935300E-02	0
4.35	+3.59581000E-02	0
4.4	+3.59354600E-02	0
4.45	+3.59168100E-02	0
4.5	+3.59058900E-02	0
4.55	+1.03299700E-01	1510
4.6	+1.02920700E-01	1510
4.65	+1.02546700E-01	1510
4.7	+1.02213700E-01	1510
4.75	+1.01854900E-01	1510
4.8	+1.01553400E-01	1510
4.85	+1.01188700E-01	1510
4.9	+1.00820600E-01	1510
4.95	+1.00482600E-01	1510
5	+1.00180500E-01	1510
