Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 117 72 94 93 93
2e-06 127 72 96 94 93
3e-06 115 93 97 94 93
4e-06 164 91 99 94 94
5e-06 144 109 100 94 94
6e-06 161 118 102 95 94
7e-06 184 141 103 95 94
8e-06 218 122 105 95 94
9e-06 241 130 106 96 94
1e-05 275 156 108 96 94
2e-05 715 317 122 99 96
3e-05 97 392 137 102 97
4e-05 99 526 151 105 99
5e-05 100 605 166 108 100
6e-05 101 642 180 111 102
7e-05 103 804 195 115 103
8e-05 104 942 210 118 104
9e-05 106 106 224 121 106
0.0001 107 107 239 124 107
0.00011 109 109 253 127 109
0.00021 123 123 397 158 123
0.00031 137 137 543 190 137
0.00041 152 152 689 221 152
0.00051 167 167 836 252 167
0.00061 181 181 181 283 181
0.00071 195 195 195 314 196
0.00081 961 961 961 344 210
0.00091 957 957 957 375 225
