Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 116 79 100 99 99
2e-06 130 86 102 99 99
3e-06 119 92 103 100 99
4e-06 141 102 104 100 99
5e-06 143 110 106 100 99
6e-06 164 156 107 101 99
7e-06 207 122 109 101 100
8e-06 246 123 110 101 100
9e-06 255 128 112 101 100
1e-05 293 153 113 102 100
2e-05 692 314 127 105 101
3e-05 103 380 141 108 103
4e-05 104 491 155 111 104
5e-05 106 610 169 114 106
6e-05 107 635 184 117 107
7e-05 109 780 198 120 108
8e-05 110 922 212 123 110
9e-05 111 111 226 126 111
0.0001 113 113 240 129 113
0.00011 114 114 254 132 114
0.00021 128 128 392 162 128
0.00031 142 142 534 192 142
0.00041 157 157 675 223 157
0.00051 171 171 818 253 171
0.00061 185 185 185 283 185
0.00071 199 199 199 312 199
0.00081 213 213 213 342 213
0.00091 943 943 943 372 227
