Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 115 107 97 96 96
2e-06 129 116 99 96 96
3e-06 160 120 100 96 96
4e-06 191 133 102 97 96
5e-06 197 141 103 97 96
6e-06 224 173 105 98 96
7e-06 249 166 106 98 97
8e-06 290 186 108 98 97
9e-06 315 196 109 99 97
1e-05 357 215 111 99 97
2e-05 748 351 127 102 99
3e-05 100 406 142 106 100
4e-05 102 525 158 109 102
5e-05 103 646 174 112 103
6e-05 105 753 189 116 105
7e-05 106 885 205 119 106
8e-05 108 108 220 122 108
9e-05 109 109 236 126 109
0.0001 111 111 251 129 111
0.00011 112 112 266 133 112
0.00021 128 128 418 166 128
0.00031 144 144 573 200 144
0.00041 159 159 729 234 159
0.00051 175 175 886 268 175
0.00061 191 191 191 301 190
0.00071 958 958 958 334 206
0.00081 951 950 951 367 222
0.00091 947 947 947 401 238
