HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.237722E-01 1e-06 47 49 98 97 97
+7.268025E-01 2e-06 53 60 100 97 97
+1.221201E+00 3e-06 53 75 101 98 97
+1.712690E+00 4e-06 52 90 102 98 97
+2.204425E+00 5e-06 63 112 104 98 97
+2.690537E+00 6e-06 74 111 105 98 98
+3.183491E+00 7e-06 117 148 106 99 98
+3.672605E+00 8e-06 199 135 108 99 98
+4.165309E+00 9e-06 132 145 109 99 98
+4.654367E+00 1e-05 243 182 111 100 98
+8.223061E+00 2e-05 608 255 126 103 99
+1.307468E+01 3e-05 101 331 140 106 101
+1.796892E+01 4e-05 102 486 156 109 102
+2.287881E+01 5e-05 104 570 169 112 104
+2.779553E+01 6e-05 105 610 178 115 105
+3.271653E+01 7e-05 107 635 197 118 107
+3.763707E+01 8e-05 108 952 210 122 108
+4.256429E+01 9e-05 110 110 223 125 110
+4.749342E+01 0.0001 111 111 232 128 111
+5.236999E+01 0.00011 113 113 252 131 113
+8.630789E+01 0.00021 127 127 376 162 127
+1.380835E+02 0.00031 141 141 547 193 142
+1.910244E+02 0.00041 157 157 693 225 157
+2.435298E+02 0.00051 171 171 841 256 171
+2.950175E+02 0.00061 186 186 186 287 186
+3.456961E+02 0.00071 201 201 201 318 201
+3.957482E+02 0.00081 960 959 958 348 216
+4.454438E+02 0.00091 952 952 952 379 230
