Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 102 83 94 93 93
1.1e-06 124 72 94 93 93
1.2e-06 116 88 94 93 93
1.3e-06 110 87 94 93 93
1.4e-06 125 78 94 93 93
1.5e-06 114 81 94 93 93
1.6e-06 116 82 96 93 93
1.7e-06 142 92 95 93 93
1.8e-06 175 88 95 93 93
1.9e-06 178 88 96 93 93
2.9e-06 121 86 97 94 93
3.9e-06 128 96 98 94 93
4.9e-06 149 103 100 94 93
5.9e-06 250 96 101 94 93
6.9e-06 181 161 102 95 93
7.9e-06 211 135 104 95 94
8.9e-06 249 135 105 95 94
9.9e-06 256 159 107 96 94
1.09e-05 282 156 108 96 94
1.19e-05 303 173 109 96 94
2.19e-05 795 330 124 99 96
3.19e-05 97 423 137 102 97
4.19e-05 99 536 152 105 98
5.19e-05 100 582 166 108 100
6.19e-05 101 666 180 127 101
7.19e-05 103 824 194 114 103
8.19e-05 104 104 208 117 104
9.19e-05 105 105 222 120 106
0.0001019 107 107 236 123 107
0.0001119 108 108 250 126 108
0.0002119 122 122 388 157 122
0.0003119 136 136 529 187 136
0.0004119 151 151 670 218 151
0.0005119 165 165 812 248 165
0.0006119 179 179 179 278 179
0.0007119 193 193 193 308 193
0.0008119 208 208 208 338 208
0.0009119 900 901 900 369 222
