AMAC,Channel,BandgapControl,RampGain,m,b
AMAC_A03,CH0_L,0,0,0.0018554302369898036,-0.029480229508866796
AMAC_A03,CH0_L,0,1,0.0008815306293838809,-0.028026295398797276
AMAC_A03,CH0_L,0,2,0.0014617505754735728,-0.02870488373246465
AMAC_A03,CH0_L,0,3,0.0015283667442373555,-0.02893428659898927
AMAC_A03,CH0_L,1,0,0.0018317225174801829,-0.02950686243628732
AMAC_A03,CH0_L,1,1,0.000870000660794457,-0.027409911656211747
AMAC_A03,CH0_L,1,2,0.001442573696493941,-0.028280770035861248
AMAC_A03,CH0_L,1,3,0.0015078822427555816,-0.028258335282889707
AMAC_A03,CH0_L,2,0,0.001805601707708222,-0.02855404930369257
AMAC_A03,CH0_L,2,1,0.0008588320345027011,-0.026804668667245932
AMAC_A03,CH0_L,2,2,0.0014218203399506415,-0.027234122897865733
AMAC_A03,CH0_L,2,3,0.001487581324837281,-0.027816544746546334
AMAC_A03,CH0_L,3,0,0.0017788868665579722,-0.027964625212718627
AMAC_A03,CH0_L,3,1,0.0008467034481596397,-0.026477471450105716
AMAC_A03,CH0_L,3,2,0.0014025896878777178,-0.02719575566254111
AMAC_A03,CH0_L,3,3,0.0014668200364416348,-0.02744130438306121
AMAC_A03,CH0_L,4,0,0.0017498084997075944,-0.027455136522670197
AMAC_A03,CH0_L,4,1,0.0008351986137966422,-0.026116313463544972
AMAC_A03,CH0_L,4,2,0.0013813187285439438,-0.026291336838053077
AMAC_A03,CH0_L,4,3,0.0014443042292119268,-0.026612232802808444
AMAC_A03,CH0_L,5,0,0.001715423658217683,-0.026740669539565422
AMAC_A03,CH0_L,5,1,0.0008220879687287375,-0.025334459809419375
AMAC_A03,CH0_L,5,2,0.001359812566476242,-0.026195869861326142
AMAC_A03,CH0_L,5,3,0.001420431225254818,-0.02597093360923508
AMAC_A03,CH0_L,6,0,0.0016806071796195768,-0.026080840687215327
AMAC_A03,CH0_L,6,1,0.0008087205234547227,-0.024921792499264336
AMAC_A03,CH0_L,6,2,0.0013333310328701086,-0.025216432198216992
AMAC_A03,CH0_L,6,3,0.0013932149156230013,-0.025599269012408988
AMAC_A03,CH0_L,7,0,0.0016444264247984972,-0.025482736091204307
AMAC_A03,CH0_L,7,1,0.0007951151044920362,-0.02413563687544382
AMAC_A03,CH0_L,7,2,0.0013055928994887178,-0.024509415854499745
AMAC_A03,CH0_L,7,3,0.0013632968311287704,-0.024777842487579076
AMAC_A03,CH0_L,8,0,0.0016088415495992279,-0.024947537738942538
AMAC_A03,CH0_L,8,1,0.0007804323289983689,-0.023702794678950062
AMAC_A03,CH0_L,8,2,0.0012775658069220145,-0.023868439062068297
AMAC_A03,CH0_L,8,3,0.001333673009835657,-0.023922865428037416
AMAC_A03,CH0_L,9,0,0.0015742205505697418,-0.024334369482509156
AMAC_A03,CH0_L,9,1,0.0007641837129309586,-0.02270664566508334
AMAC_A03,CH0_L,9,2,0.0012504561321655854,-0.023333956079816913
AMAC_A03,CH0_L,9,3,0.00130560805561666,-0.023425289886870995
AMAC_A03,CH0_L,10,0,0.0015383486011482017,-0.02346541041908194
AMAC_A03,CH0_L,10,1,0.0007482919256575626,-0.022507089108302132
AMAC_A03,CH0_L,10,2,0.0012226819949070218,-0.022528659823684193
AMAC_A03,CH0_L,10,3,0.0012770980470811308,-0.022988778681285377
AMAC_A03,CH0_L,11,0,0.0015034291459272537,-0.022487984942753374
AMAC_A03,CH0_L,11,1,0.0007314572092084273,-0.02129258716527243
AMAC_A03,CH0_L,11,2,0.001195258769596148,-0.02186548069543602
AMAC_A03,CH0_L,11,3,0.0012481866618700786,-0.022105882678960503
AMAC_A03,CH0_L,12,0,0.0014682971180888362,-0.021862542429944763
AMAC_A03,CH0_L,12,1,0.0007149891796175905,-0.020679803790083294
AMAC_A03,CH0_L,12,2,0.0011683858245593725,-0.021318916029979196
AMAC_A03,CH0_L,12,3,0.001219670465340387,-0.021448755594920942
AMAC_A03,CH0_L,13,0,0.0014344511619233118,-0.021202370245915515
AMAC_A03,CH0_L,13,1,0.0006979354902866423,-0.019666332183186044
AMAC_A03,CH0_L,13,2,0.0011411897847425343,-0.02061642349827778
AMAC_A03,CH0_L,13,3,0.001191734456558544,-0.020890267034414878
AMAC_A03,CH0_L,14,0,0.00140056433264968,-0.020433072135000386
AMAC_A03,CH0_L,14,1,0.0006822770177805013,-0.01884904167575203
AMAC_A03,CH0_L,14,2,0.0011145236028775954,-0.019834105945621648
AMAC_A03,CH0_L,14,3,0.001162969205854862,-0.01972705681606431
AMAC_A03,CH0_L,15,0,0.001365325109290826,-0.01996349436624333
AMAC_A03,CH0_L,15,1,0.0006660822732906758,-0.018359889962144757
AMAC_A03,CH0_L,15,2,0.0010866388884706894,-0.01909831757986886
AMAC_A03,CH0_L,15,3,0.001134104725887206,-0.019370599941652775
AMAC_A03,CH0_R,0,0,0.001858781828069029,-0.02840181969392312
AMAC_A03,CH0_R,0,1,0.0008918389321656677,-0.022990977752363057
AMAC_A03,CH0_R,0,2,0.001469670445966474,-0.02632579763782474
AMAC_A03,CH0_R,0,3,0.0015356042177069895,-0.02605675753192948
AMAC_A03,CH0_R,1,0,0.0018335006925383004,-0.026598287068698757
AMAC_A03,CH0_R,1,1,0.0008801578321280583,-0.02146460818033154
AMAC_A03,CH0_R,1,2,0.0014497654590512501,-0.024264801014291404
AMAC_A03,CH0_R,1,3,0.0015142127764869856,-0.02424745446280081
AMAC_A03,CH0_R,2,0,0.0018069675395297686,-0.02491982196936374
AMAC_A03,CH0_R,2,1,0.0008726007080896543,-0.024389002623963287
AMAC_A03,CH0_R,2,2,0.0014280832112139811,-0.021937699116358463
AMAC_A03,CH0_R,2,3,0.0014932816224533234,-0.022921523277731337
AMAC_A03,CH0_R,3,0,0.001776784657255126,-0.022114879420112515
AMAC_A03,CH0_R,3,1,0.0008560760763585131,-0.020777774712169877
AMAC_A03,CH0_R,3,2,0.001411121444281245,-0.023359793486700826
AMAC_A03,CH0_R,3,3,0.0014718289211494164,-0.022102167759539437
AMAC_A03,CH0_R,4,0,0.0017479867201818388,-0.022576036783456793
AMAC_A03,CH0_R,4,1,0.0008455759709330755,-0.022108396056424985
AMAC_A03,CH0_R,4,2,0.0013856508746821795,-0.020652011591694518
AMAC_A03,CH0_R,4,3,0.0014477866502323475,-0.02066152126634748
AMAC_A03,CH0_R,5,0,0.0017132550119763525,-0.02150651141158888
AMAC_A03,CH0_R,5,1,0.0008344021357614942,-0.022917354116685565
AMAC_A03,CH0_R,5,2,0.0013643544778341376,-0.021197282136329272
AMAC_A03,CH0_R,5,3,0.0014276608347078992,-0.02221306328144848
AMAC_A03,CH0_R,6,0,0.0016799786412713034,-0.02279474510394284
AMAC_A03,CH0_R,6,1,0.0008188566146301817,-0.02153631476464565
AMAC_A03,CH0_R,6,2,0.0013399624652104417,-0.02239103293822886
AMAC_A03,CH0_R,6,3,0.0013982799585184624,-0.02213701785431979
AMAC_A03,CH0_R,7,0,0.0016435292905806881,-0.021813033059249774
AMAC_A03,CH0_R,7,1,0.0008060702250402311,-0.020272445724909213
AMAC_A03,CH0_R,7,2,0.0013093880654208472,-0.019931313294598584
AMAC_A03,CH0_R,7,3,0.0013678613195662612,-0.020773583900806664
AMAC_A03,CH0_R,8,0,0.001604267609847781,-0.01925165052169779
AMAC_A03,CH0_R,8,1,0.0007898557065488165,-0.0185088677372017
AMAC_A03,CH0_R,8,2,0.0012811740394848936,-0.018434898915993234
AMAC_A03,CH0_R,8,3,0.0013375409450415588,-0.018566680762111563
AMAC_A03,CH0_R,9,0,0.0015684087085479246,-0.01838570935276116
AMAC_A03,CH0_R,9,1,0.0007721939265850574,-0.017325439059310006
AMAC_A03,CH0_R,9,2,0.0012514217221545046,-0.016876527619515656
AMAC_A03,CH0_R,9,3,0.001306229474394862,-0.01717359215240855
AMAC_A03,CH0_R,10,0,0.0015339149637971317,-0.018856895218780652
AMAC_A03,CH0_R,10,1,0.0007578048388847753,-0.019295552232009832
AMAC_A03,CH0_R,10,2,0.001226950484179859,-0.019215076821653142
AMAC_A03,CH0_R,10,3,0.0012796894460031518,-0.018934174248386126
AMAC_A03,CH0_R,11,0,0.0014984897550054626,-0.016313116800844952
AMAC_A03,CH0_R,11,1,0.0007380977411952067,-0.014058612082358576
AMAC_A03,CH0_R,11,2,0.0011970235323408532,-0.015559090737810331
AMAC_A03,CH0_R,11,3,0.0012486438315250003,-0.015367914351343664
AMAC_A03,CH0_R,12,0,0.0014629395274676808,-0.014881937461057811
AMAC_A03,CH0_R,12,1,0.0007230338370430905,-0.013845676927031264
AMAC_A03,CH0_R,12,2,0.0011694059144036588,-0.013829560185048221
AMAC_A03,CH0_R,12,3,0.0012197231448281562,-0.013842420035625932
AMAC_A03,CH0_R,13,0,0.0014307473597328613,-0.015262143111101079
AMAC_A03,CH0_R,13,1,0.0007086667435629089,-0.013953027457372981
AMAC_A03,CH0_R,13,2,0.0011450745649307728,-0.015046253917282622
AMAC_A03,CH0_R,13,3,0.0011932390804638951,-0.01443007931210638
AMAC_A03,CH0_R,14,0,0.001397133847390226,-0.013651563204098726
AMAC_A03,CH0_R,14,1,0.0006921538003944713,-0.01182066705073768
AMAC_A03,CH0_R,14,2,0.001118060785142086,-0.013096760701887304
AMAC_A03,CH0_R,14,3,0.0011660188548327647,-0.013078308067409058
AMAC_A03,CH0_R,15,0,0.0013656484885429545,-0.014107651377668026
AMAC_A03,CH0_R,15,1,0.0006792501201142317,-0.012908719083735594
AMAC_A03,CH0_R,15,2,0.0010927599813003875,-0.01297979370486706
AMAC_A03,CH0_R,15,3,0.0011402645277094167,-0.013517933165893717
AMAC_A03,CH1_R,0,0,0.0018644077035726392,-0.02845746223309794
AMAC_A03,CH1_R,0,1,0.0008948913705115208,-0.023975429391075116
AMAC_A03,CH1_R,0,2,0.0014741574644963958,-0.026554316743599312
AMAC_A03,CH1_R,0,3,0.0015407586078699373,-0.026236834655260246
AMAC_A03,CH1_R,1,0,0.0018371307208914112,-0.026043374374795883
AMAC_A03,CH1_R,1,1,0.0008850661455184427,-0.022949939365995063
AMAC_A03,CH1_R,1,2,0.0014532020471911054,-0.02453691409601109
AMAC_A03,CH1_R,1,3,0.0015184108027504637,-0.024524598419811333
AMAC_A03,CH1_R,2,0,0.0018093035520392548,-0.024453354709563987
AMAC_A03,CH1_R,2,1,0.0008732896744930386,-0.024030291642317292
AMAC_A03,CH1_R,2,2,0.0014317879979030416,-0.022135758269086005
AMAC_A03,CH1_R,2,3,0.0014968957233641043,-0.022947908813550067
AMAC_A03,CH1_R,3,0,0.0017821085560740732,-0.023030604034680588
AMAC_A03,CH1_R,3,1,0.0008621927462090987,-0.022287796062649783
AMAC_A03,CH1_R,3,2,0.0014134905353827022,-0.023134464926487065
AMAC_A03,CH1_R,3,3,0.0014759436291615939,-0.022295151311058362
AMAC_A03,CH1_R,4,0,0.0017567131372510274,-0.02429031773795937
AMAC_A03,CH1_R,4,1,0.0008493888723479334,-0.022181250041791816
AMAC_A03,CH1_R,4,2,0.0013895339000712628,-0.021124755232476883
AMAC_A03,CH1_R,4,3,0.0014535715605920449,-0.02162271884069955
AMAC_A03,CH1_R,5,0,0.001718974438786819,-0.02164980527686953
AMAC_A03,CH1_R,5,1,0.0008357937004146329,-0.021831927548915976
AMAC_A03,CH1_R,5,2,0.0013691242217564524,-0.02114268360277549
AMAC_A03,CH1_R,5,3,0.001431286491128524,-0.02197385355392561
AMAC_A03,CH1_R,6,0,0.0016850619219614422,-0.022344378492826486
AMAC_A03,CH1_R,6,1,0.0008235739674109943,-0.022060009372097795
AMAC_A03,CH1_R,6,2,0.0013445452701600113,-0.021752291697746062
AMAC_A03,CH1_R,6,3,0.0014036532539276091,-0.022201809800098542
AMAC_A03,CH1_R,7,0,0.001649065301647824,-0.021443526394197488
AMAC_A03,CH1_R,7,1,0.0008104262115710834,-0.020835181409037652
AMAC_A03,CH1_R,7,2,0.00131487170727496,-0.020390898510188278
AMAC_A03,CH1_R,7,3,0.0013719439646248236,-0.02022563310962385
AMAC_A03,CH1_R,8,0,0.0016105923122852932,-0.019582029637799207
AMAC_A03,CH1_R,8,1,0.0007943143280305017,-0.01947183342741438
AMAC_A03,CH1_R,8,2,0.001284266622883419,-0.017811092886377364
AMAC_A03,CH1_R,8,3,0.0013417292432239074,-0.018927472248807715
AMAC_A03,CH1_R,9,0,0.0015738780381861996,-0.018487394543443333
AMAC_A03,CH1_R,9,1,0.0007778533026847081,-0.018796584095503395
AMAC_A03,CH1_R,9,2,0.0012578718108469757,-0.017968399080697986
AMAC_A03,CH1_R,9,3,0.0013132402720507277,-0.018140219591255703
AMAC_A03,CH1_R,10,0,0.0015410594932325384,-0.019309220625818434
AMAC_A03,CH1_R,10,1,0.0007623866672768576,-0.019342658409172635
AMAC_A03,CH1_R,10,2,0.0012313452513716678,-0.018831730027421563
