AMAC,Channel,BandgapControl,RampGain,m,b
AMAC_B06,CH0_L,0,0,0.0017101310694798985,-0.031971029545788725
AMAC_B06,CH0_L,0,1,0.0007305820932414377,-0.030087961841313446
AMAC_B06,CH0_L,0,2,0.001322118120790848,-0.030809139631807092
AMAC_B06,CH0_L,0,3,0.0013880577814048428,-0.031167198975274292
AMAC_B06,CH0_L,1,0,0.0016851302766872534,-0.03166275709796941
AMAC_B06,CH0_L,1,1,0.0007206371776812304,-0.029300034678384525
AMAC_B06,CH0_L,1,2,0.0013042705356885837,-0.030608782936068123
AMAC_B06,CH0_L,1,3,0.001368502905626477,-0.030772996632254707
AMAC_B06,CH0_L,2,0,0.001661162659985773,-0.031346223455890464
AMAC_B06,CH0_L,2,1,0.0007104958960815942,-0.029032760852161995
AMAC_B06,CH0_L,2,2,0.0012855594656971205,-0.03018835006247156
AMAC_B06,CH0_L,2,3,0.0013487104547096557,-0.030328861344762877
AMAC_B06,CH0_L,3,0,0.0016358169230264105,-0.031001485122214418
AMAC_B06,CH0_L,3,1,0.0006998249167119592,-0.02852619064594751
AMAC_B06,CH0_L,3,2,0.0012670589288051042,-0.029888538328971054
AMAC_B06,CH0_L,3,3,0.0013291586406448132,-0.029914867813920765
AMAC_B06,CH0_L,4,0,0.0016078568691002553,-0.03040142623410964
AMAC_B06,CH0_L,4,1,0.0006891523480382456,-0.027920301554528914
AMAC_B06,CH0_L,4,2,0.0012473342195442685,-0.02942029442735317
AMAC_B06,CH0_L,4,3,0.001308839819345586,-0.029545036779258148
AMAC_B06,CH0_L,5,0,0.0015763910892750948,-0.02982709055039221
AMAC_B06,CH0_L,5,1,0.0006782171974330855,-0.027405962145884952
AMAC_B06,CH0_L,5,2,0.0012260128641748286,-0.028732626861903927
AMAC_B06,CH0_L,5,3,0.0012863840228320633,-0.029084546984522498
AMAC_B06,CH0_L,6,0,0.001543448326850123,-0.029151292147718257
AMAC_B06,CH0_L,6,1,0.000666574003800314,-0.026923506169518403
AMAC_B06,CH0_L,6,2,0.0012021860342923234,-0.02804869212401919
AMAC_B06,CH0_L,6,3,0.0012603111189992188,-0.028377965721085203
AMAC_B06,CH0_L,7,0,0.0015100589540059544,-0.028560875838805004
AMAC_B06,CH0_L,7,1,0.0006545442435041727,-0.026314753722291005
AMAC_B06,CH0_L,7,2,0.0011763751086515824,-0.027485499520638702
AMAC_B06,CH0_L,7,3,0.0012328556082152463,-0.027662079219757496
AMAC_B06,CH0_L,8,0,0.001475031366540337,-0.02771169849755309
AMAC_B06,CH0_L,8,1,0.0006404324909104217,-0.025671149113394142
AMAC_B06,CH0_L,8,2,0.0011494566351198784,-0.026745126043478513
AMAC_B06,CH0_L,8,3,0.0012050981287305782,-0.02702634917895943
AMAC_B06,CH0_L,9,0,0.0014413394252502532,-0.027133804319596177
AMAC_B06,CH0_L,9,1,0.000625627624324101,-0.025053384795741616
AMAC_B06,CH0_L,9,2,0.0011233336610586995,-0.026080664540946284
AMAC_B06,CH0_L,9,3,0.001176967835448252,-0.026159923676739895
AMAC_B06,CH0_L,10,0,0.001406906971523887,-0.026285191786182698
AMAC_B06,CH0_L,10,1,0.0006101787248754414,-0.02428572913896025
AMAC_B06,CH0_L,10,2,0.0010959358247191288,-0.02527341572612562
AMAC_B06,CH0_L,10,3,0.0011485160361160095,-0.02537628272813684
AMAC_B06,CH0_L,11,0,0.0013734908588349164,-0.025575184401493534
AMAC_B06,CH0_L,11,1,0.0005964837585561453,-0.02390638772237271
AMAC_B06,CH0_L,11,2,0.0010696973401309398,-0.02462326756962354
AMAC_B06,CH0_L,11,3,0.0011213287775275094,-0.02484786603446062
AMAC_B06,CH0_L,12,0,0.0013395115443891482,-0.02472176037742808
AMAC_B06,CH0_L,12,1,0.0005817450412936245,-0.023198468936781378
AMAC_B06,CH0_L,12,2,0.001043169961582725,-0.023792659088942087
AMAC_B06,CH0_L,12,3,0.0010936456813954538,-0.023890633933468176
